Word,Length (Ortho),Word_PTAN,Word_PTAF,Word_OTAN,Word_OTAF,Pseudoword,Pseudoword_PTAN,Pseudoword_PTAF,Pseudoword_OTAN,Pseudoword_OTAF,PTAF_RelDiff_Pct,OTAN_Diff,OTAF_RelDiff_Pct,Status,Method
chair,5,37,220.2279,7,27.6163,charp,,222.9804,,,1.25,,,,
stone,5,18,6.9662,12,15.1356,stoms,,6.6667,,,4.3,,,,
brick,5,20,42.6882,9,11.2505,brids,,43.6469,,,2.25,,,,
cloth,5,5,2.4784,5,1.0235,clonx,,2.8431,,,14.72,,,,
tulip,5,1,1.1373,1,1.1373,,,,,,,,,,
flame,5,9,14.2331,7,15.1289,flard,,14.4511,,,1.53,,,,
block,5,17,20.4106,8,38.3162,bloil,,17.9412,,,12.1,,,,
scale,5,12,34.0735,6,11.3203,scang,,33.961,,,0.33,,,,
cable,5,11,25.4474,7,38.6219,baple,,26.2156,,,3.02,,,,
brush,5,6,9.0131,5,13.0824,snush,,9.0001,,,0.14,,,,
token,5,3,47.0784,4,35.5098,holen,,45.4118,,,3.54,,,,
model,5,10,11.4412,5,6.8196,hudel,,11.1961,,,2.14,,,,
frame,5,12,173.4444,4,6.3529,fratt,,176.2548,,,1.62,,,,
fiber,5,5,46.7059,4,1.4902,yurts,,47.2158,,,1.09,,,,
clock,5,21,8.1634,10,12.9255,clomp,,9.0588,,,10.97,,,,
throne,6,11,18.6239,2,1.2353,,,,,,,,,,
beacon,6,5,5.7647,2,7.3627,paecon,,7.9019,,,37.07,,,,
fabric,6,1,0.7451,1,0.7451,faydic,,0.7451,,,0,,,,
dragon,6,1,4.549,2,2.4608,drobon,,4.549,,,0,,,,
clinic,6,2,1.951,1,0.98039,swonic,,1.9412,,,0.5,,,,
helmet,6,1,2.0196,1,2.0196,hidmet,,2.0196,,,0,,,,
jungle,6,3,2.4052,3,2.4052,jargle,,3.2549,,,35.33,,,,
marble,6,7,8.9132,1,3.0392,pamble,,9.549,,,7.13,,,,
signal,6,3,3.4837,1,9.5294,sildal,,10.451,,,200,,,,
ticket,6,4,11.7794,5,9.6392,lucket,,12.6471,,,7.37,,,,
hazard,6,3,1.1961,1,0.62745,hacate,,1.098,,,8.2,,,,
napkin,6,1,2.5686,1,2.5686,nadcin,,2.5686,,,0,,,,
manual,6,2,3.902,1,0.60784,munyac,,7.8039,,,100,,,,
lizard,6,6,2.5229,2,5.951,ticard,,3.5098,,,39.12,,,,
kitten,6,8,16.8088,3,1.915,watten,,21.4901,,,27.85,,,,
blanket,7,1,5.098,1,5.098,blarhet,,5.098,,,0,,,,
journal,7,5,23.8824,1,1.7843,veirnal,,108.7452,,,355.34,,,,
monster,7,4,6.2892,3,4.0131,ronquer,,6.2353,,,0.86,,,,
picture,7,4,18.6618,2,35.402,secture,,17.5294,,,6.07,,,,
machine,7,1,13.8627,1,13.8627,machent,,13.8627,,,7.77,,,,
village,7,1,0.60784,2,1.5098,,,,,,,,,,
diamond,7,1,17.0392,1,17.0392,,,,,,,,,,
theater,7,2,1.1667,3,2.2222,gairvow,,1.1569,,,0.84,,,,
kitchen,7,2,2.7255,1,0.72549,kinched,,3.2353,,,18.71,,,,
mustard,7,3,1.3725,1,1.2549,mostate,,0,,,100,,,,
cartoon,7,2,2.3529,2,2.3529,,,,,,,,,,
surface,7,2,2.6765,2,0.78431,surfole,,5.3529,,,100,,,,
network,7,1,2.1176,1,2.1176,nedworn,,2.1176,,,0,,,,
dolphin,7,1,3.9608,1,3.9608,pelphin,,2.7647,,,0,,,,
elephant,8,3,5.7582,1,4.3725,,,,,,,,,,
festival,8,2,1.3137,1,0.70588,fellipal,,2.6275,,,100.01,,,,
perfume,7,2,0.61765,2,0.61765,,,,,,,,,,
mansion,7,2,30.0882,1,0.70588,,,,,,,,,,
biscuit,7,1,3.2745,1,3.2745,cisbuit,,3.7451,,,0,,,,
monument,8,1,0.90196,1,0.90196,menucant,,0.902,,,0,,,,
koala,5,1,5.5294,0,0,,,,,,,,,,
cigar,5,1,6.6667,1,6.6667,,,,,,,,,,
nylon,5,2,0.89216,2,0.89216,,,,,,,,,,
mango,5,3,2.183,3,2.5686,,,,,,,,,,
dagger,5,5,1.5529,3,16.5556,,,,,,,,,,
bonnet,5,1,0.76471,2,0.58824,,,,,,,,,,
parlor,5,6,4.6046,1,0.52941,,,,,,,,,,
violin,5,1,1.0588,1,1.0588,,,,,,,,,,
pellet,5,3,0.6732,2,0.53921,,,,,,,,,,
lobster,7,2,1.4902,2,1.4902,,,,,,,,,,
trumpet,7,2,0.66667,2,0.66667,,,,,,,,,,
